filename,product_name,variant_color_or_view,catalog_page,wix_product_handle
Cover__Product Catalog April 2026.jpeg,Cover,Product Catalog April 2026,1,cover
20oz_Regular_Tumbler__Black.jpeg,20oz Regular Tumbler,Black,3,20oz_regular_tumbler
20oz_Regular_Tumbler__White.jpeg,20oz Regular Tumbler,White,3,20oz_regular_tumbler
20oz_Regular_Tumbler__Blue.jpeg,20oz Regular Tumbler,Blue,3,20oz_regular_tumbler
20oz_Regular_Tumbler__Light Blue.jpeg,20oz Regular Tumbler,Light Blue,3,20oz_regular_tumbler
20oz_Regular_Tumbler__Navy.jpeg,20oz Regular Tumbler,Navy,3,20oz_regular_tumbler
20oz_Regular_Tumbler__Maroon.jpeg,20oz Regular Tumbler,Maroon,3,20oz_regular_tumbler
20oz_Regular_Tumbler__Red.jpeg,20oz Regular Tumbler,Red,3,20oz_regular_tumbler
20oz_Regular_Tumbler__Pink.jpeg,20oz Regular Tumbler,Pink,3,20oz_regular_tumbler
20oz_Regular_Tumbler__Teal.jpeg,20oz Regular Tumbler,Teal,3,20oz_regular_tumbler
20oz_Regular_Tumbler__Purple.jpeg,20oz Regular Tumbler,Purple,3,20oz_regular_tumbler
20oz_Regular_Tumbler__Green.jpeg,20oz Regular Tumbler,Green,3,20oz_regular_tumbler
20oz_Regular_Tumbler__Yellow.jpeg,20oz Regular Tumbler,Yellow,3,20oz_regular_tumbler
20oz_Regular_Tumbler__Orange.jpeg,20oz Regular Tumbler,Orange,3,20oz_regular_tumbler
20oz_Regular_Tumbler_with_Handle__Black.jpeg,20oz Regular Tumbler with Handle,Black,4,20oz_regular_tumbler_with_handle
20oz_Regular_Tumbler_with_Handle__White.jpeg,20oz Regular Tumbler with Handle,White,4,20oz_regular_tumbler_with_handle
20oz_Regular_Tumbler_with_Handle__Blue.jpeg,20oz Regular Tumbler with Handle,Blue,4,20oz_regular_tumbler_with_handle
20oz_Regular_Tumbler_with_Handle__Light Blue.jpeg,20oz Regular Tumbler with Handle,Light Blue,4,20oz_regular_tumbler_with_handle
20oz_Regular_Tumbler_with_Handle__Navy.jpeg,20oz Regular Tumbler with Handle,Navy,4,20oz_regular_tumbler_with_handle
20oz_Regular_Tumbler_with_Handle__Maroon.jpeg,20oz Regular Tumbler with Handle,Maroon,4,20oz_regular_tumbler_with_handle
20oz_Regular_Tumbler_with_Handle__Red.jpeg,20oz Regular Tumbler with Handle,Red,4,20oz_regular_tumbler_with_handle
20oz_Regular_Tumbler_with_Handle__Pink.jpeg,20oz Regular Tumbler with Handle,Pink,4,20oz_regular_tumbler_with_handle
20oz_Regular_Tumbler_with_Handle__Teal.jpeg,20oz Regular Tumbler with Handle,Teal,4,20oz_regular_tumbler_with_handle
20oz_Regular_Tumbler_with_Handle__Purple.jpeg,20oz Regular Tumbler with Handle,Purple,4,20oz_regular_tumbler_with_handle
20oz_Regular_Tumbler_with_Handle__Green.jpeg,20oz Regular Tumbler with Handle,Green,4,20oz_regular_tumbler_with_handle
20oz_Regular_Tumbler_with_Handle__Yellow.jpeg,20oz Regular Tumbler with Handle,Yellow,4,20oz_regular_tumbler_with_handle
20oz_Regular_Tumbler_with_Handle__Orange.jpeg,20oz Regular Tumbler with Handle,Orange,4,20oz_regular_tumbler_with_handle
20oz_Regular_Handle__Black.jpeg,20oz Regular Handle,Black,5,20oz_regular_handle
20oz_Regular_Handle__White.jpeg,20oz Regular Handle,White,5,20oz_regular_handle
20oz_Regular_Handle__Blue.jpeg,20oz Regular Handle,Blue,5,20oz_regular_handle
20oz_Regular_Handle__Light Blue.jpeg,20oz Regular Handle,Light Blue,5,20oz_regular_handle
20oz_Regular_Handle__Navy.jpeg,20oz Regular Handle,Navy,5,20oz_regular_handle
20oz_Regular_Handle__Maroon.jpeg,20oz Regular Handle,Maroon,5,20oz_regular_handle
20oz_Regular_Handle__Red.jpeg,20oz Regular Handle,Red,5,20oz_regular_handle
20oz_Regular_Handle__Pink.jpeg,20oz Regular Handle,Pink,5,20oz_regular_handle
20oz_Regular_Handle__Teal.jpeg,20oz Regular Handle,Teal,5,20oz_regular_handle
20oz_Regular_Handle__Purple.jpeg,20oz Regular Handle,Purple,5,20oz_regular_handle
20oz_Regular_Handle__Green.jpeg,20oz Regular Handle,Green,5,20oz_regular_handle
20oz_Regular_Handle__Yellow.jpeg,20oz Regular Handle,Yellow,5,20oz_regular_handle
20oz_Regular_Handle__Orange.jpeg,20oz Regular Handle,Orange,5,20oz_regular_handle
20oz_Regular_Gold_Electro__Black-Gold.jpeg,20oz Regular Gold Electro,Black-Gold,6,20oz_regular_gold_electro
20oz_Regular_Gold_Electro__White-Gold.jpeg,20oz Regular Gold Electro,White-Gold,6,20oz_regular_gold_electro
20oz_Regular_Gold_Electro__Black-Gold-with-Handle.jpeg,20oz Regular Gold Electro,Black-Gold-with-Handle,6,20oz_regular_gold_electro
20oz_Regular_Gold_Electro__White-Gold-with-Handle.jpeg,20oz Regular Gold Electro,White-Gold-with-Handle,6,20oz_regular_gold_electro
